tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
educativo,ceip_ntra_sra_de_la_paloma,calle_tabernillas_2_28005_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_ntra_sra_fuencisla,calle_tomelloso_39_28026_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_ntra_sra_fuencisla,calle_tomelloso_39_28026_madrid,usera,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_ntra_sra_fuencisla,calle_tomelloso_39_28026_madrid,usera,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_padre_poveda,avenida_alfonso_xiii_23_28002_madrid,chamartin,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_padre_poveda,avenida_alfonso_xiii_23_28002_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_patriarca_obispo_elio_garay,calle_lopez_de_hoyos_40_28006_madrid,chamartin,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_patriarca_obispo_elio_garay,calle_lopez_de_hoyos_40_28006_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_patriarca_obispo_elio_garay,calle_lopez_de_hoyos_40_28006_madrid,chamartin,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_pi_i_margall,plaza_dos_de_mayo_2_28004_madrid,centro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_pi_i_margall,plaza_dos_de_mayo_2_28004_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_pi_i_margall,plaza_dos_de_mayo_2_28004_madrid,centro,gas,m3,16780,20220401,nan,empresa_desconocida
educativo,ceip_pradolongo,calle_parque_de_la_paloma_9_28026_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_pradolongo,calle_parque_de_la_paloma_9_28026_madrid,usera,energía_reactiva,kvarh,10,20220401,nan,empresa_desconocida
educativo,ceip_pradolongo,calle_parque_de_la_paloma_9_28026_madrid,usera,gas,m3,2640,20220401,nan,empresa_desconocida
educativo,ceip_puerto_rico,calle_segura_74_28041_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_puerto_rico,calle_segura_74_28041_madrid,usera,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_puerto_rico,calle_segura_74_28041_madrid,usera,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_residencia_san_ildefonso,calle_alfonso_vi_1_28005_madrid,centro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_residencia_san_ildefonso,calle_alfonso_vi_1_28005_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_residencia_san_ildefonso,calle_alfonso_vi_1_28005_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_rufino_blanco,calle_general_alvarez_de_castro_46_28010_madrid,chamberi,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_rufino_blanco,calle_general_alvarez_de_castro_46_28010_madrid,chamberi,energía_reactiva,kvarh,1690,20220401,nan,empresa_desconocida
educativo,ceip_rufino_blanco,calle_general_alvarez_de_castro_46_28010_madrid,chamberi,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_san_isidoro,calle_fuenterrabia_15_28014_madrid,retiro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_san_isidoro,calle_fuenterrabia_15_28014_madrid,retiro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_san_isidoro,calle_fuenterrabia_15_28014_madrid,retiro,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_san_juan_de_la_cruz,calle_honduras_10_28016_madrid,chamartin,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_san_juan_de_la_cruz,calle_honduras_10_28016_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_vázquez_de_mella,calle_bailen_18_28005_madrid,centro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_vázquez_de_mella,calle_bailen_18_28005_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_vázquez_de_mella,calle_bailen_18_28005_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
social,centro_de_acogida_san_isidro,paseo_rey_34_28008_madrid,moncloa_aravaca,energía_activa,kwh,00,20220401,nan,empresa_desconocida
social,centro_de_acogida_san_isidro,paseo_rey_34_28008_madrid,moncloa_aravaca,energía_reactiva,kvarh,9140,20220401,nan,empresa_desconocida
cultural,centro_de_mayores_san_francisco,calle_jerte_3_entrada_por_calle_san_buenaventura_3_28005_madrid,centro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
cultural,centro_de_mayores_san_francisco,calle_jerte_3_entrada_por_calle_san_buenaventura_3_28005_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
cultural,centro_de_mayores_san_francisco,calle_jerte_3_entrada_por_calle_san_buenaventura_3_28005_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
otras_dependencias,centro_integral_de_formación_de_seguridad_y_emergencias,calle_sepulveda_153_28011_madrid,latina,gas,m3,00,20220401,nan,empresa_desconocida
cultural,cmm_acuario,calle_acuario_27_planta_1ª_28042_madrid,barajas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
cultural,cmm_acuario,calle_acuario_27_planta_1ª_28042_madrid,barajas,energía_reactiva,kvarh,22310,20220401,nan,empresa_desconocida
cultural,cmm_el_almendro,calle_ladera_de_los_almendros_6_28032_madrid,vicalvaro,energía_activa,kwh,62040,20220401,nan,empresa_desconocida
cultural,cmm_el_almendro,calle_ladera_de_los_almendros_6_28032_madrid,vicalvaro,energía_reactiva,kvarh,40200,20220401,nan,empresa_desconocida
cultural,cmm_la_estrella_carmen_martín_gaite,calle_pez_austral_6_28007_madrid,retiro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
cultural,cmm_la_estrella_carmen_martín_gaite,calle_pez_austral_6_28007_madrid,retiro,energía_reactiva,kvarh,2600,20220401,nan,empresa_desconocida
cultural,cmm_orcasur,avenida_orcasur_60_28041_madrid,usera,energía_activa,kwh,118800,20220401,nan,empresa_desconocida
cultural,cmm_orcasur,avenida_orcasur_60_28041_madrid,usera,energía_reactiva,kvarh,92790,20220401,nan,empresa_desconocida
cultural,cmm_villa_vallecas,calle_pico_mampodre_6_28031_madrid,villa_de_vallecas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
cultural,cmm_villa_vallecas,calle_pico_mampodre_6_28031_madrid,villa_de_vallecas,energía_reactiva,kvarh,54550,20220401,nan,empresa_desconocida
mixto,cmm_y_css_luis_vives,avenida_institucion_libre_de_enseñanza_160_28037_madrid,ciudad_lineal,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,cmm_y_css_luis_vives,avenida_institucion_libre_de_enseñanza_160_28037_madrid,ciudad_lineal,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
mixto,complejo_antonio_machado_cc_cm_bib_y_em,calle_san_román_del_valle_8_28037_madrid,san_blas_canillejas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,complejo_antonio_machado_cc_cm_bib_y_em,calle_san_román_del_valle_8_28037_madrid,san_blas_canillejas,energía_reactiva,kvarh,23290,20220401,nan,empresa_desconocida
mixto,complejo_antonio_machado_cc_cm_bib_y_em,calle_san_román_del_valle_8_28037_madrid,san_blas_canillejas,gas,m3,00,20220401,nan,empresa_desconocida
mixto,complejo_la_vaguada,avenida_monforte_de_lemos_3840_28029_madrid,fuencarral_el_pardo,energía_activa,kwh,873800,20220401,nan,empresa_desconocida
mixto,complejo_la_vaguada,avenida_monforte_de_lemos_3840_28029_madrid,fuencarral_el_pardo,energía_reactiva,kvarh,267250,20220401,nan,empresa_desconocida
cultural,complejo_sanchinarro,c_princesa_éboli_29,hortaleza,energía_activa,kwh,00,20220401,nan,empresa_desconocida
social,cs_teresa_de_calcuta,plaza_navio_4_28042_madrid,barajas,energía_activa,kwh,142020,20220401,nan,empresa_desconocida
social,cs_teresa_de_calcuta,plaza_navio_4_28042_madrid,barajas,energía_reactiva,kvarh,4940,20220401,nan,empresa_desconocida
social,cs_teresa_de_calcuta,plaza_navio_4_28042_madrid,barajas,gas,m3,00,20220401,nan,empresa_desconocida
mixto,csc_ágata,calle_doctor_martin_arevalo_2_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,csc_ágata,calle_doctor_martin_arevalo_2_28021_madrid,villaverde,energía_reactiva,kvarh,1910,20220401,nan,empresa_desconocida
mixto,csc_cánovas_del_castillo,calle_julio_aguirre_10_y_12_28026_madrid,usera,energía_activa,kwh,32760,20220401,nan,empresa_desconocida
mixto,csc_cánovas_del_castillo,calle_julio_aguirre_10_y_12_28026_madrid,usera,energía_reactiva,kvarh,10100,20220401,nan,empresa_desconocida
mixto,csc_garcía_lorca,calle_eugenia_de_montijo_105_28044_madrid,carabanchel,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,csc_garcía_lorca,calle_eugenia_de_montijo_105_28044_madrid,carabanchel,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
mixto,csc_garcía_lorca,calle_eugenia_de_montijo_105_28044_madrid,carabanchel,gas,m3,00,20220401,nan,empresa_desconocida
mixto,csc_josé_espronceda,calle_almansa_9_28039_madrid,tetuan,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,csc_josé_espronceda,calle_almansa_9_28039_madrid,tetuan,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
mixto,csc_marconi,acceso_colonia_marconi_4_calle_san_eustaquio_25_frente_a_fachada_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,csc_marconi,acceso_colonia_marconi_4_calle_san_eustaquio_25_frente_a_fachada_28021_madrid,villaverde,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
mixto,csc_montecarmelo,avenida_monasterio_de_silos_57_28049_madrid,fuencarral_el_pardo,energía_activa,kwh,136610,20220401,nan,empresa_desconocida
mixto,csc_montecarmelo,avenida_monasterio_de_silos_57_28049_madrid,fuencarral_el_pardo,energía_reactiva,kvarh,1840,20220401,nan,empresa_desconocida
