Número,Código Ayto,Centro,Dirección,Coordenada-X,Coordenada-Y,Latitud,Longitud,Superficie (m2),Uso del edificio,Adscripción,Distrito,Potencia KWp,Empresa instaladora,Puesta en servicio
45.0,2204.0,CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA,"C/ PRINCESA ÉBOLI, 29",444469.0,4482391.0,40.4903531015737,-3.65526174471725,1743.9618666666668,cultural, JMD Hortaleza , Hortaleza ,20.0,DRAGADOS,2019-02-22
46.0,1380.0,JMD HORTALEZA,CARRETERA DE CANILLAS 2,444286.0,4479355.0,40.462991140169,-3.65715427699194,1242.6928333333333,administrativo, JMD Hortaleza , Hortaleza ,16.51542372140949,DRAGADOS,2019-03-07
47.0,895.0,CC FEDERICO CHUECA ,"C/ BENITA ÁVILA, 17",444847.0,4479572.0,40.46498334634,-3.65056826658469,1743.9618666666668,cultural, JMD Hortaleza , Hortaleza ,20.0,DRAGADOS,2018-11-19
48.0,547.0,JMD LATINA,"AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL)",435041.0,4470644.0,40.3838571804374,-3.76530195937242,5.193,administrativo, JMD Latina , Latina ,27.0,AURA,2018-11-22
49.0,2148.0,CDM LAS CRUCES,"AV/ POBLADOS, S/N BJ - ",435779.0,4470115.0,40.379148937377295,-3.75655476241196,4661.848685714286,deportivo, JMD Latina , Latina ,17.0,FERROVIAL,2019-02-08
50.0,2299.0,CENTRO DE DÍA GERTRUDIS DE LA FUENTE,"C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2",437062.0,4472332.0,40.3992228218455,-3.74165624171805,1.768,social, JMD Latina , Latina ,50.0,AURA,2019-05-25
51.0,2260.0,CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA,"C/ PINAR DE SAN JOSE , 104 - MADRID (28054)",434109.0,4468407.0,40.3636232165702,-3.77604986037844,4.132,social, JMD Latina , Latina ,12.0,Empresa desconocida,2016-08-08
52.0,1140.0,CDM GALLUR,"C/ GALLUR, 2",437595.0,4472245.0,40.398465832065,-3.73538345068692,6.305,deportivo, JMD Latina , Latina ,20.0,AURA,2020-02-19
53.0,2447.0,EI BOLA DE CRISTAL (VALDEZARZA),"C/ ISLAS BISAGOS, 13",439360.0,4479933.0,40.467857,-3.715308,1188.0428516183597,educativo, JMD Moncloa Aravaca , Moncloa Aravaca ,6.0,CYOPSA,2018-12-06
54.0,1931.0,IDM LA BOMBILLA,"Paseo Senda del Rey, 8",437798.0,4476478.0,40.436623,-3.733391,4661.848685714286,deportivo, JMD Moncloa Aravaca , Moncloa Aravaca ,12.0,ORTIZ,2019-01-23
